N;S
100;-0.02008416921
600;-0.01116336683
1100;0.0200594415
1600;0.001917617432
2100;0.01216796248
2600;-0.003931710461
3100;-0.009259672028
3600;0.001645990436
4100;-0.0002508656048
4600;-0.003995397692
5100;-0.008438687369
5600;0.002469040656
6100;0.001261634722
6600;-0.007139648272
7100;0.003836725582
7600;0.002086914036
8100;0.002128882873
8600;0.001004990623
9100;-0.004621696444
9600;0.00253950029
10100;0.001613151737
10600;-0.001158214376
11100;-0.003754093334
11600;0.003980700874
12100;-0.002645219864
12600;0.003778160236
13100;-0.0009748990479
13600;0.0001844185529
14100;-0.003001781672
14600;0.0009746585394
15100;-0.0001725565596
15600;-7.174789211e-05
16100;-0.0002840796442
16600;-0.0009982820027
17100;0.00152560174
17600;0.005461764881
18100;-0.004064258262
18600;-0.0006653754413
19100;-0.0004192429785
19600;-0.001519587332
20100;-0.001894335652
20600;0.0009969726379
21100;0.002643875792
21600;0.003304344725
22100;0.002048611637
22600;0.001089831949
23100;-0.002630231684
23600;0.00135279805
24100;-0.003879800761
24600;0.00369487391
25100;-0.00128158926
25600;-0.001910178782
26100;-0.001142253279
26600;-0.001134558484
27100;0.00062384154
27600;0.0005246744178
28100;0.0003081549847
28600;-0.001459174997
29100;-0.001308745325
29600;0.0004501361669
30100;0.002947368243
30600;-0.0006918518168
31100;0.0005287755943
31600;0.00393554723
32100;0.0004445787568
32600;0.0004896680889
33100;-0.001385313278
33600;-0.002352849093
34100;-0.001432588594
34600;-0.0003098561508
35100;-0.0001516597478
35600;-0.001400215563
36100;-0.002334756844
36600;-0.000611396295
37100;-0.00170616953
37600;0.0005871622485
38100;-2.064901678e-07
38600;0.001104958646
39100;0.001031438472
39600;-0.001423784509
40100;0.0001069965859
40600;-0.002469049389
41100;0.0003294917131
41600;-0.002555980212
42100;-0.0009500016326
42600;-9.210016856e-05
43100;0.001283246167
43600;-0.001166811373
44100;-2.520121865e-05
44600;0.0009684936014
45100;0.0002695018546
45600;5.084021286e-05
46100;0.0003794935188
46600;-0.0007987138809
47100;-0.0004461657322
47600;-0.0005032386442
48100;0.00172421806
48600;4.270282878e-05
49100;-0.00096936204
49600;0.001292967575
50100;-0.002799344145
50600;-0.0008484347963
51100;0.002089590976
51600;-1.036903989e-05
52100;-0.001321244314
52600;0.0003437898546
53100;-0.002459672198
53600;0.0003640305073
54100;0.0002359294882
54600;-0.0007551356485
55100;0.000922620426
55600;0.001600119312
56100;0.0004123925751
56600;0.001302478521
57100;-0.001770866356
57600;0.0004397521335
58100;-0.001196705781
58600;-0.001183965688
59100;-0.0007499585048
59600;-0.0002558782697
60100;-0.001575188409
60600;-0.0004794660336
61100;-0.001876433065
61600;-0.001472799907
62100;-0.0003629305013
62600;0.001839102751
63100;0.0004582538763
63600;0.001576937297
64100;-0.00128014979
64600;-0.001808102889
65100;-0.0005444180889
65600;-0.0004783837237
66100;-0.001659125493
66600;-0.0004992059784
67100;-0.0005423656678
67600;-0.0002468546753
68100;-0.001956893209
68600;-0.0004805109163
69100;0.0006467903921
69600;-0.0008923170052
70100;-0.001140801792
70600;0.0002413220726
71100;0.0010944121
71600;0.00186945775
72100;-0.001158039289
72600;0.001601093412
73100;0.001311957094
73600;-0.0009969340151
74100;-0.0001561357377
74600;0.002071119071
75100;-0.001861993497
75600;-0.001145164155
76100;0.00103251432
76600;-0.001271470877
77100;-0.0007125974427
77600;5.661142355e-05
78100;0.001177091109
78600;-0.001416224709
79100;0.002200486159
79600;0.001067391171
80100;0.0006937699573
80600;0.001392419878
81100;-0.001640116255
81600;-0.0003920529811
82100;0.001422545497
82600;-2.394619159e-06
83100;0.000763654294
83600;0.001221346672
84100;5.923592871e-05
84600;-0.0008433660384
85100;0.0004212582644
85600;-0.0004993684758
86100;0.001108415058
86600;4.231152175e-05
87100;2.249841937e-05
87600;-0.001384794988
88100;-6.669249714e-05
88600;4.572437267e-05
89100;0.0003671341508
89600;-0.0008142251243
90100;-0.001244467332
90600;-0.002118727532
91100;-0.0003281661323
91600;-0.0003494784874
92100;-0.0009919533398
92600;0.001728370887
93100;0.0009644430015
93600;4.92195958e-05
94100;0.00199869989
94600;-0.001091738868
95100;-0.001256535454
95600;-0.0003870547798
96100;0.0004423164417
96600;-0.001417827104
97100;0.0006220851958
97600;0.0005212812457
98100;0.00235214193
98600;0.0005879007795
99100;-8.351284309e-05
99600;-6.713708315e-05
