N; S
100; 0.945964
600; 0.950987
1100; 0.953211
1600; 0.949853
2100; 0.932307
2600; 0.951311
3100; 0.95164
3600; 0.94934
4100; 0.951513
4600; 0.949874
5100; 0.946002
5600; 0.940894
6100; 0.93868
6600; 0.943121
7100; 0.948031
7600; 0.942113
8100; 0.941487
8600; 0.941657
9100; 0.943015
9600; 0.943614
10100; 0.94709
10600; 0.939067
11100; 0.941532
11600; 0.948017
12100; 0.944204
12600; 0.948927
13100; 0.947188
13600; 0.945485
14100; 0.945674
14600; 0.94673
15100; 0.942461
15600; 0.947322
16100; 0.945734
16600; 0.940968
17100; 0.942081
17600; 0.945306
18100; 0.943165
18600; 0.9446
19100; 0.942579
19600; 0.94269
20100; 0.945722
20600; 0.943793
21100; 0.942867
21600; 0.945239
22100; 0.946646
22600; 0.946699
23100; 0.947281
23600; 0.945313
24100; 0.942261
24600; 0.945031
25100; 0.946402
25600; 0.943811
26100; 0.94387
26600; 0.945642
27100; 0.944238
27600; 0.942212
28100; 0.947126
28600; 0.946311
29100; 0.942453
29600; 0.946581
30100; 0.94693
30600; 0.943393
31100; 0.942988
31600; 0.946376
32100; 0.94372
32600; 0.945191
33100; 0.943887
33600; 0.942824
34100; 0.944441
34600; 0.946998
35100; 0.944399
35600; 0.943809
36100; 0.943745
36600; 0.944965
37100; 0.943569
37600; 0.944552
38100; 0.943757
38600; 0.94337
39100; 0.944181
39600; 0.942188
40100; 0.944354
40600; 0.944276
41100; 0.944038
41600; 0.94232
42100; 0.944578
42600; 0.942513
43100; 0.94478
43600; 0.944298
44100; 0.943519
44600; 0.944041
45100; 0.944806
45600; 0.943819
46100; 0.946082
46600; 0.942194
47100; 0.943041
47600; 0.944667
48100; 0.94424
48600; 0.94529
49100; 0.943263
49600; 0.944482
50100; 0.944239
50600; 0.942321
51100; 0.944841
51600; 0.942569
52100; 0.943779
52600; 0.944489
53100; 0.946196
53600; 0.94471
54100; 0.943847
54600; 0.946824
55100; 0.945152
55600; 0.942502
56100; 0.945629
56600; 0.944219
57100; 0.943415
57600; 0.94409
58100; 0.944205
58600; 0.946687
59100; 0.944205
59600; 0.945313
60100; 0.944201
60600; 0.945123
61100; 0.943709
61600; 0.9433
62100; 0.946062
62600; 0.944822
63100; 0.944217
63600; 0.943675
64100; 0.946349
64600; 0.943854
65100; 0.945033
65600; 0.944735
66100; 0.946765
66600; 0.944856
67100; 0.944768
67600; 0.945286
68100; 0.945556
68600; 0.945764
69100; 0.944212
69600; 0.945221
70100; 0.942798
70600; 0.946783
71100; 0.945176
71600; 0.945099
72100; 0.945318
72600; 0.944992
73100; 0.945163
73600; 0.94072
74100; 0.945516
74600; 0.943768
75100; 0.945513
75600; 0.94377
76100; 0.945568
76600; 0.944362
77100; 0.943327
77600; 0.943302
78100; 0.943641
78600; 0.944987
79100; 0.945492
79600; 0.942102
80100; 0.944341
80600; 0.945882
81100; 0.944897
81600; 0.942552
82100; 0.945429
82600; 0.943125
83100; 0.943732
83600; 0.944148
84100; 0.945803
84600; 0.943652
85100; 0.944235
85600; 0.946198
86100; 0.945171
86600; 0.944205
87100; 0.945108
87600; 0.944644
88100; 0.944006
88600; 0.944751
89100; 0.943722
89600; 0.944615
90100; 0.945636
90600; 0.945492
91100; 0.943092
91600; 0.942135
92100; 0.944343
92600; 0.944243
93100; 0.943377
93600; 0.945355
94100; 0.944512
94600; 0.944151
95100; 0.944588
95600; 0.944173
96100; 0.94275
96600; 0.944065
97100; 0.945419
97600; 0.945225
98100; 0.945221
98600; 0.944148
99100; 0.944893
99600; 0.944112
