N;random;reversed;sorted
500; 144.87;122.65;106.69
600; 177.02;157.89;124.21
700; 228.3;175.14;164.11
800; 248.16;196.44;172.52
900; 257.05;232.23;197.38
1000; 295.78;296.43;214.71
1100; 335.22;278.72;240
1200; 386.85;339.14;250.94
1300; 380.89;345.21;310.06
1400; 476;385.98;342.21
1500; 489.92;408.89;377.91
1600; 529.16;433.74;389.63
1700; 547.79;466.88;413.36
1800; 572.96;487.27;437.54
1900; 610.14;546.57;462.11
2000; 652.75;554.16;477.12
2100; 677.44;576.84;497.53
2200; 737.23;663;558.21
2300; 762.66;667.47;561.61
2400; 807.69;718.11;643.37
2500; 878.84;769.69;669.26
2600; 897.8;789.15;686.38
2700; 990.33;851.41;738.3
2800; 1024.49;872.87;777.68
2900; 1071.64;913.55;844.79
3000; 1061.47;891.89;831.09
3100; 1118.96;928.03;857.27
3200; 1132.51;944.06;884.18
3300; 1158.7;978.56;902
3400; 1189.34;1011.28;934.37
3500; 1231.39;1037.94;940.64
3600; 1262.24;1073.18;959.18
3700; 1328.89;1143.54;1009.86
3800; 1354.34;1183.36;1023.34
3900; 1380.79;1173.4;1034.46
4000; 1408.98;1201.26;1056.9
4100; 1460.55;1281.93;1111.05
4200; 1482.79;1275.36;1111.17
4300; 1514.03;1313.7;1151.04
4400; 1550.72;1333.14;1155.13
4500; 1587.53;1382.5;1197.64
4600; 1642.2;1429.41;1212.39
4700; 1670.18;1453.4;1231.87
4800; 1707.75;1483.96;1274.78
4900; 1750.83;1522.05;1323.97
5000; 1776.12;1550.01;1324.95
5100; 1806.13;1606.16;1335.16
5200; 1877.9;1649.5;1400.18
5300; 1950.49;1677.86;1466.04
5400; 2011.73;1720.34;1533.56
5500; 2091.13;1772.17;1599.64
5600; 2159.19;1796.65;1674.26
5700; 2187.48;1826.69;1720.83
5800; 2235.9;1868.02;1742.94
5900; 2275.52;1938.06;1830.49
6000; 2330.27;1929.91;1786.01
6100; 2349.24;1967.92;1816.72
6200; 2376.74;2001.39;1959.79
6300; 2593.01;2034.69;1886.51
6400; 2455.49;2057.93;1897.76
6500; 2585.42;2149.97;1968.5
6600; 2543.92;2147.69;2010.1
6700; 2594.84;2190.74;1975.73
6800; 2625.01;2193.94;2020
6900; 2652.7;2233.33;2033.61
7000; 2698.04;2310.19;2098.1
7100; 2747.48;2351.85;2088.72
7200; 2829.95;2345.9;2130.35
7300; 2818.61;2373.58;2151.27
7400; 2856.16;2406.58;2193.48
7500; 2891.69;2439.35;2210.86
7600; 2965.26;2478.78;2223.06
7700; 2993.31;2506.06;2247.77
7800; 3049.02;2628.78;2359.1
7900; 3066.25;2644.33;2303.77
8000; 3111.14;2615;2327.85
8100; 3138.32;2658.77;2359.74
8200; 3163.75;2694;2388.49
8300; 3210.7;2748.19;2424.5
8400; 3313.67;2772.21;2439.95
8500; 3366.1;2810.56;2484.95
8600; 3336.27;2882.06;2513.62
8700; 3375.22;2880.21;2517.04
8800; 3417.7;2901.81;2561.8
8900; 3443.37;2942.97;2581.58
9000; 3538.13;2976.11;2595.05
9100; 3546.71;3037.26;2626.37
9200; 3559.27;3051.64;2679.19
9300; 3621.03;3211.19;2775.55
9400; 3655.96;3140.99;2729.83
9500; 3707.62;3168.77;2748.69
9600; 3734.31;3223.93;2766.41
9700; 3779.54;3277.68;2810.06
9800; 3846.09;3280.96;2828.87
9900; 3856.45;3333.64;2857.61
10000; 3954.79;3361.93;2884.99
